step	loss
0	9.602773240602465
1	8.869706082041056
2	7.268136049360547
3	6.587268132723042
4	5.281286881111603
5	4.485924911097065
6	3.4985023764090983
7	2.026550626586668
8	1.3523002031805555
9	0.8379992375034817
